countryname,system_type,iso3c
Turk Cyprus,Presidential,CYP
Afghanistan,Presidential,AFG
Angola,Presidential,AGO
Albania,Parliamentary,ALB
UAE,Presidential,ARE
Argentina,Presidential,ARG
Armenia,Parliamentary,ARM
Australia,Parliamentary,AUS
Austria,Parliamentary,AUT
Azerbaijan,Presidential,AZE
Burundi,Presidential,BDI
Belgium,Parliamentary,BEL
Benin,Presidential,BEN
Burkina Faso,Presidential,BFA
Bangladesh,Parliamentary,BGD
Bulgaria,Parliamentary,BGR
Bahrain,Presidential,BHR
Bahamas,Parliamentary,BHS
Bosnia-Herz,Parliamentary,BIH
Belarus,Presidential,BLR
Belize,Parliamentary,BLZ
Bolivia,Presidential,BOL
Brazil,Presidential,BRA
Barbados,Parliamentary,BRB
Brunei,Presidential,BRN
Bhutan,Presidential,BTN
Botswana,Parliamentary,BWA
Cent. Af. Rep.,Presidential,CAF
Canada,Parliamentary,CAN
Switzerland,Parliamentary,CHE
Chile,Presidential,CHL
PRC,Semi-Presidential,CHN
Cote d'Ivoire,Presidential,CIV
Cameroon,Presidential,CMR
Congo,Presidential,COG
Colombia,Presidential,COL
Comoro Is.,Presidential,COM
C. Verde Is.,Presidential,CPV
Costa Rica,Presidential,CRI
Cuba,Semi-Presidential,CUB
Cyprus,Presidential,CYP
Czech Rep.,Parliamentary,CZE
FRG/Germany,Parliamentary,DEU
Djibouti,Presidential,DJI
Denmark,Parliamentary,DNK
Dom. Rep.,Presidential,DOM
Algeria,Presidential,DZA
Ecuador,Presidential,ECU
Egypt,Presidential,EGY
Eritrea,Semi-Presidential,ERI
Spain,Parliamentary,ESP
Estonia,Semi-Presidential,EST
Ethiopia,Parliamentary,ETH
Finland,Parliamentary,FIN
Fiji,Parliamentary,FJI
France,Parliamentary,FRA
Gabon,Presidential,GAB
UK,Parliamentary,GBR
Georgia,Presidential,GEO
Ghana,Presidential,GHA
Guinea,Presidential,GIN
Gambia,Presidential,GMB
Guinea-Bissau,Presidential,GNB
Eq. Guinea,Presidential,GNQ
Greece,Parliamentary,GRC
Grenada,Parliamentary,GRD
Guatemala,Presidential,GTM
Guyana,Semi-Presidential,GUY
Honduras,Presidential,HND
Croatia,Parliamentary,HRV
Haiti,Presidential,HTI
Hungary,Parliamentary,HUN
Indonesia,Presidential,IDN
India,Parliamentary,IND
Ireland,Parliamentary,IRL
Iran,Presidential,IRN
Iraq,Parliamentary,IRQ
Iceland,Parliamentary,ISL
Israel,Parliamentary,ISR
Italy,Parliamentary,ITA
Jamaica,Parliamentary,JAM
Jordan,Presidential,JOR
Japan,Parliamentary,JPN
Kazakhstan,Presidential,KAZ
Kenya,Presidential,KEN
Kyrgyzstan,Presidential,KGZ
Cambodia,Parliamentary,KHM
ROK,Presidential,KOR
Kuwait,Presidential,KWT
Laos,Semi-Presidential,LAO
Lebanon,Semi-Presidential,LBN
Liberia,Presidential,LBR
Libya,Presidential,LBY
St. Lucia,Parliamentary,LCA
Sri Lanka,Presidential,LKA
Lesotho,Parliamentary,LSO
Lithuania,Presidential,LTU
Luxembourg,Parliamentary,LUX
Latvia,Parliamentary,LVA
Morocco,Presidential,MAR
Moldova,Presidential,MDA
Madagascar,Presidential,MDG
Maldives,Presidential,MDV
Mexico,Presidential,MEX
North Macedonia,Parliamentary,MKD
Mali,Presidential,MLI
Malta,Parliamentary,MLT
Myanmar,Presidential,MMR
Mongolia,Presidential,MNG
Mozambique,Presidential,MOZ
Mauritania,Presidential,MRT
Mauritius,Parliamentary,MUS
Malawi,Presidential,MWI
Malaysia,Parliamentary,MYS
Namibia,Presidential,NAM
Niger,Presidential,NER
Nigeria,Presidential,NGA
Nicaragua,Presidential,NIC
Netherlands,Parliamentary,NLD
Norway,Parliamentary,NOR
Nepal,Parliamentary,NPL
New Zealand,Parliamentary,NZL
Oman,Presidential,OMN
Pakistan,Semi-Presidential,PAK
Panama,Presidential,PAN
Peru,Presidential,PER
Philippines,Presidential,PHL
P. N. Guinea,Parliamentary,GIN
Poland,Presidential,POL
PRK,Semi-Presidential,PRK
Portugal,Semi-Presidential,PRT
Paraguay,Presidential,PRY
Qatar,Presidential,QAT
Romania,Presidential,ROU
Russia,Presidential,RUS
Rwanda,Presidential,RWA
Saudi Arabia,Presidential,SAU
Sudan,Presidential,SDN
Senegal,Presidential,SEN
Singapore,Parliamentary,SGP
Solomon Is.,Parliamentary,SLB
Sierra Leone,Presidential,SLE
El Salvador,Presidential,SLV
Somalia,Presidential,SOM
South Sudan,Presidential,SSD
eSwatini,Presidential,SWZ
Suriname,Parliamentary,SUR
Slovakia,Parliamentary,SVK
Slovenia,Parliamentary,SVN
Sweden,Parliamentary,SWE
Syria,Presidential,SYR
Chad,Presidential,TCD
Togo,Semi-Presidential,TGO
Thailand,Parliamentary,THA
Tajikistan,Presidential,TJK
Turkmenistan,Presidential,TKM
Timor-Leste,Presidential,TLS
Trinidad-Tobago,Parliamentary,TTO
Tunisia,Presidential,TUN
Turkey,Semi-Presidential,TUR
Taiwan,Presidential,TWN
Tanzania,Presidential,TZA
Uganda,Presidential,UGA
Ukraine,Presidential,UKR
Uruguay,Presidential,URY
USA,Presidential,USA
Uzbekistan,Presidential,UZB
Venezuela,Presidential,VEN
Vietnam,Semi-Presidential,VNM
Vanuatu,Parliamentary,VUT
Samoa,Parliamentary,WSM
S. Africa,Semi-Presidential,ZAF
Congo (DRC),Presidential,COD
Zambia,Presidential,ZMB
Zimbabwe,Presidential,ZWE
